Ppd_D1,NLP3_3B,Plant_height_[cm],Spike_length_[cm],Spikelets_per_spike,Tiller_number,Internode_1_length_[cm],Internode_2_length_[cm],Internode_3_length_[cm],Internode_4_length_[cm],Internode_5_length_[cm],Internode_6_length_[cm],Spike_weight_[g],Culm_weight_[g],Number_of_grains_per_spike,Grain_weight_per_spike_[g],Grain_weight_per_plant_[ln(g)],Thousand_kernel_weight_[g],Time_before_heading_[days],Time_before_anthesis_[days],Spike_density,Grains_in_spikelet,Internode_number,Harvest_index
aa,GG,57.5,6.0,16.0,3.0,24.5,15.5,7.5,4.0,,,1.37,0.58,26.0,0.99,0.8544153281560676,38.07692307692308,50.0,52,,1.625,4.0,0.5076923076923077
aa,GG,63.0,6.5,16.0,3.0,20.5,15.0,9.5,7.5,3.5,,1.37,0.57,27.0,1.01,0.7839015438284094,37.4074074074074,50.0,52,24.61538461538462,1.6875,5.0,0.520618556701031
aa,GG,62.5,6.5,15.0,3.0,23.0,15.5,10.5,5.0,1.0,,1.34,0.67,22.0,0.91,0.7747271675523681,41.36363636363637,50.0,52,23.07692307692308,1.466666666666667,5.0,0.4527363184079601
bb,GG,59.5,6.0,,2.0,25.0,14.5,10.0,4.0,,,1.0,0.33,22.0,0.72,0.06765864847381466,32.72727272727273,58.0,64,,,4.0,0.5413533834586466
bb,GG,63.5,7.0,16.0,4.0,24.5,15.5,10.0,6.5,,,1.55,0.42,35.0,1.27,1.68824909285839,36.28571428571428,58.0,64,22.85714285714286,2.1875,4.0,0.6446700507614214
bb,GG,69.5,6.0,,1.0,24.5,,10.0,6.5,2.5,,1.85,0.79,30.0,1.36,0.3074846997479607,45.33333333333334,58.0,64,,,5.0,0.5151515151515151
bb,AA,70.5,7.0,16.0,2.0,20.5,16.5,10.5,,,,1.86,0.74,39.0,1.51,0.8878912573524571,38.71794871794872,54.0,58,22.85714285714286,2.4375,5.0,0.5807692307692307
bb,AA,56.5,6.5,15.0,3.0,18.5,13.5,8.0,7.0,3.0,,1.23,0.37,24.0,0.94,0.636576829071551,39.16666666666666,54.0,58,23.07692307692308,1.6,5.0,0.5874999999999999
bb,AA,56.0,7.0,17.0,2.0,15.5,14.0,9.5,7.0,2.5,,1.1,0.41,21.0,0.85,0.3001045924503382,40.47619047619047,54.0,58,24.28571428571428,1.235294117647059,5.0,0.5629139072847682
bb,AA,63.0,8.0,18.0,2.0,23.0,16.0,10.5,5.5,,,1.61,0.55,32.0,1.26,0.5596157879354227,39.375,54.0,58,22.5,1.777777777777778,5.0,0.5833333333333333
bb,AA,62.0,8.0,15.0,2.0,24.0,12.0,10.0,5.5,2.5,,1.24,0.56,19.0,0.82,0.02955880224154443,43.1578947368421,54.0,58,18.75,1.266666666666667,5.0,0.4555555555555555
bb,AA,68.0,8.0,,2.0,22.5,14.5,11.0,,3.5,,2.02,0.62,35.0,1.46,0.7839015438284094,41.71428571428572,54.0,58,,,5.0,0.553030303030303
bb,AA,48.5,6.5,17.0,3.0,,9.0,10.5,5.0,4.5,,0.45,0.23,8.0,0.27,-0.4942963218147799,33.75,54.0,58,,,5.0,0.3970588235294117
bb,AA,69.5,8.0,,2.0,21.0,17.0,11.0,7.5,4.0,,1.67,0.58,34.0,1.37,1.061256502124341,40.29411764705883,54.0,58,,,5.0,0.6088888888888889
bb,AA,48.5,6.5,18.0,1.0,13.5,13.5,7.0,5.5,2.0,,0.59,0.37,9.0,0.32,,35.55555555555556,54.0,58,,,5.0,
bb,AA,50.5,6.0,17.0,4.0,21.0,9.5,8.0,5.0,,,0.58,0.31,13.0,0.38,-0.2357223335210698,29.23076923076923,54.0,58,,0.7647058823529411,4.0,0.4269662921348315
bb,AA,58.0,8.0,17.0,1.0,20.0,,11.0,7.0,5.0,,1.54,0.54,25.0,1.16,0.1484200051182732,46.4,54.0,58,21.25,1.470588235294118,5.0,0.5576923076923076
bb,AA,64.5,8.0,18.0,3.0,23.5,15.0,10.0,7.0,1.5,,2.01,0.59,37.0,1.57,1.235471471385307,42.43243243243244,54.0,58,22.5,2.055555555555555,5.0,0.6038461538461539
bb,AA,64.0,8.0,18.0,3.0,23.5,15.5,9.0,6.0,1.0,,1.72,0.6,31.0,1.26,0.9858167945227652,40.64516129032258,54.0,58,22.5,1.722222222222222,5.0,0.5431034482758621
bb,AA,68.5,7.5,16.0,2.0,24.0,17.5,7.0,7.5,4.5,,1.8,0.73,35.0,1.37,0.7793248768009977,39.14285714285715,54.0,58,21.33333333333333,2.1875,5.0,0.541501976284585
bb,AA,56.0,6.0,14.0,3.0,20.0,12.0,8.0,6.5,4.0,,0.92,0.37,19.0,0.74,1.007957920399979,38.94736842105263,54.0,58,23.33333333333333,1.357142857142857,5.0,0.5736434108527132
bb,AA,59.5,7.0,16.0,2.0,,16.5,11.0,7.5,4.5,,1.16,0.48,21.0,0.87,0.3364722366212129,41.42857142857143,54.0,58,22.85714285714286,1.3125,5.0,0.5304878048780488
bb,AA,60.0,7.0,14.0,1.0,18.0,13.5,9.5,7.0,5.0,,1.15,0.4,22.0,0.87,-0.1392620673335077,39.54545454545455,54.0,58,20.0,1.571428571428571,5.0,0.5612903225806453
bb,AA,57.0,7.5,15.0,2.0,18.0,12.0,10.5,5.5,3.5,,0.89,0.38,17.0,0.63,0.009950330853168092,37.05882352941177,54.0,58,20.0,1.133333333333333,5.0,0.4960629921259843
bb,AA,63.5,7.5,17.0,3.0,25.0,16.5,8.5,5.5,,,1.68,0.52,33.0,1.24,1.160020916796753,37.57575757575758,54.0,58,22.66666666666667,1.941176470588235,4.0,0.5636363636363636
bb,AA,71.5,8.5,17.0,,25.0,18.0,10.0,7.0,3.0,,2.54,,41.0,1.84,1.693779060867851,44.8780487804878,54.0,58,20.0,2.411764705882353,5.0,
bb,AA,55.0,8.0,17.0,,18.0,12.5,10.0,4.5,1.5,,1.42,0.54,25.0,1.03,1.297463147413275,41.2,54.0,58,21.25,1.470588235294118,5.0,0.5255102040816326
bb,AA,56.5,6.5,16.0,3.0,18.5,15.0,9.0,6.0,1.5,,0.72,0.27,15.0,0.52,0.2776317365982796,34.66666666666666,54.0,58,24.61538461538462,0.9375,5.0,0.5252525252525253
bb,AA,62.5,7.5,15.0,4.0,22.5,16.0,9.0,6.5,2.0,,1.44,0.5,28.0,1.09,0.9477893989335261,38.92857142857143,58.0,64,20.0,1.866666666666667,5.0,0.5618556701030928
bb,AA,48.0,6.0,14.0,4.0,,12.0,10.0,5.0,2.0,,0.99,0.35,18.0,0.66,0.8153648132841946,36.66666666666666,58.0,64,23.33333333333333,1.285714285714286,5.0,0.4925373134328359
bb,AA,,7.0,16.0,1.0,,,9.0,6.0,1.5,,1.82,0.55,30.0,1.27,0.2390169004704999,42.33333333333334,58.0,64,22.85714285714286,1.875,5.0,0.5358649789029536
bb,AA,51.5,6.0,15.0,1.0,,,8.0,6.5,,,0.9,0.66,24.0,0.67,-0.4004775665971252,27.91666666666667,58.0,64,25.0,1.6,4.0,0.4294871794871795
bb,AA,55.5,6.5,14.0,2.0,,14.0,,6.5,3.5,,1.42,0.63,29.0,1.09,0.4446858212614457,37.58620689655172,58.0,64,21.53846153846154,2.071428571428572,5.0,0.5317073170731709
bb,AA,53.0,6.5,16.0,1.0,,,8.5,7.0,2.0,,0.82,0.82,22.0,0.56,-0.579818495252942,,58.0,64,24.61538461538462,1.375,5.0,
bb,AA,46.5,7.5,16.0,4.0,,16.5,8.5,5.5,1.5,,1.5,0.55,32.0,1.16,1.169381359556317,36.25,58.0,64,21.33333333333333,2.0,5.0,0.5658536585365854
bb,AA,41.5,7.0,14.0,1.0,,13.0,10.5,4.5,,,0.74,0.61,11.0,0.47,-0.7550225842780328,42.72727272727273,58.0,64,20.0,0.7857142857142857,4.0,
bb,AA,57.0,8.5,18.0,3.0,16.0,15.0,10.5,6.0,2.0,,2.02,0.85,43.0,1.6,1.190887564777281,37.2093023255814,58.0,64,21.17647058823529,2.388888888888889,5.0,0.5574912891986062
bb,AA,67.5,8.5,17.0,4.0,20.0,,10.0,6.0,2.0,,,,52.0,,1.62924053973028,44.61538461538461,58.0,64,20.0,3.058823529411764,5.0,
bb,AA,62.0,7.0,15.0,4.0,20.5,16.5,10.5,5.5,2.5,,1.61,0.63,32.0,1.25,1.068153081183401,39.0625,58.0,64,21.42857142857143,2.133333333333333,5.0,0.5580357142857142
bb,AA,58.5,8.0,18.0,4.0,19.0,12.5,11.0,6.0,3.0,,2.2,0.73,39.0,1.66,1.211940973975113,42.56410256410256,58.0,64,22.5,2.166666666666667,5.0,0.5665529010238908
bb,AA,,7.0,,1.0,,18.0,,5.0,3.0,,0.99,0.65,24.0,0.58,-0.5447271754416722,,58.0,64,,,5.0,
bb,AA,66.0,7.0,,1.0,,,,3.5,,,0.87,0.52,20.0,0.64,-0.4462871026284195,32.0,58.0,64,,,4.0,0.460431654676259
bb,AA,,7.5,,1.0,,19.5,10.0,6.5,4.0,,1.16,0.75,24.0,0.75,-0.2876820724517809,31.25,58.0,64,,,5.0,
bb,AA,61.0,7.0,,1.0,,15.0,,,1.0,,0.45,0.34,12.0,0.21,,,58.0,64,,,5.0,
bb,AA,,7.0,,2.0,,18.5,10.0,5.0,,,1.06,0.7,25.0,0.65,0.2700271372130602,26.0,58.0,64,,,4.0,
bb,AA,54.0,9.0,15.0,1.0,17.0,15.0,9.5,3.0,0.5,,1.1,0.59,18.0,0.66,-0.4155154439616658,36.66666666666666,58.0,64,,1.2,5.0,
bb,AA,71.0,8.0,14.0,2.0,31.5,,,4.5,,,1.44,0.71,27.0,0.94,0.09531017980432474,34.81481481481482,58.0,64,17.5,1.928571428571429,4.0,0.4372093023255814
bb,AA,,7.5,,1.0,32.5,19.5,10.0,6.5,2.5,,1.18,0.73,25.0,0.86,-0.1508228897345837,34.4,58.0,64,,,5.0,0.4502617801047121
bb,AA,67.0,9.0,,3.0,23.0,15.5,,4.0,2.5,,2.6,,,2.03,1.272565595791548,36.24999999999999,58.0,64,,,5.0,
bb,AA,72.0,6.5,,1.0,,18.0,6.5,3.0,,,0.89,0.53,22.0,0.61,-0.4942963218147801,27.72727272727273,58.0,64,,,4.0,0.4295774647887324
bb,AA,64.0,8.0,18.0,4.0,19.5,18.0,10.0,6.0,2.5,,0.9,0.77,19.0,0.62,1.172482137234565,32.63157894736842,58.0,64,22.5,1.055555555555556,5.0,
bb,AA,50.0,7.0,15.0,2.0,,12.5,9.5,6.5,3.5,,1.04,0.45,23.0,0.76,0.3001045924503382,33.04347826086956,58.0,64,21.42857142857143,1.533333333333333,5.0,0.5100671140939598
bb,AA,60.5,7.0,15.0,4.0,15.0,17.0,9.5,8.0,4.5,,1.34,0.62,26.0,1.01,1.383791230901772,38.84615384615385,58.0,64,21.42857142857143,1.733333333333333,5.0,0.5153061224489796
bb,AA,56.0,7.5,17.0,4.0,,19.0,9.5,,5.0,,1.39,0.77,29.0,0.93,1.121677561599106,32.06896551724138,58.0,64,22.66666666666667,1.705882352941176,5.0,0.4305555555555555
bb,AA,51.0,9.0,18.0,,,16.5,9.5,6.0,2.5,,2.45,0.86,45.0,1.76,1.490654376444134,39.11111111111111,58.0,64,20.0,2.5,5.0,0.5317220543806647
bb,AA,58.5,7.0,16.0,3.0,13.5,14.5,,8.0,4.0,,1.28,0.73,27.0,0.95,0.9162907318741551,35.18518518518518,58.0,64,22.85714285714286,1.6875,5.0,0.472636815920398
aa,AA,57.5,6.0,,2.0,21.0,13.0,7.5,7.0,2.5,,1.54,0.37,32.0,1.26,0.5933268452777344,39.375,50.0,54,,,5.0,0.6596858638743455
aa,AA,57.0,5.0,,1.0,18.0,13.5,8.0,8.0,3.5,,0.78,0.3,16.0,0.61,-0.4942963218147801,38.125,50.0,54,,,5.0,0.5648148148148148
aa,AA,54.5,4.5,,1.0,21.5,14.5,7.5,5.0,1.0,,1.06,0.34,21.0,0.83,-0.1863295781914935,39.52380952380953,50.0,54,,,5.0,0.5928571428571427
aa,AA,58.0,5.0,,1.0,24.5,11.0,8.5,6.0,3.0,,0.8,0.3,17.0,0.5,-0.6931471805599453,29.41176470588235,50.0,54,,,5.0,0.4545454545454545
aa,AA,,,,2.0,,11.0,7.0,5.5,2.5,,0.66,0.27,13.0,0.48,-0.2484613592984996,36.92307692307692,50.0,54,,,5.0,0.5161290322580645
aa,AA,,,,1.0,,,8.5,3.5,2.5,,0.23,,,0.12,,30.0,50.0,54,,,5.0,
aa,GG,51.0,7.0,15.0,1.0,22.5,12.0,6.5,4.0,,,2.14,0.57,38.0,1.64,0.494696241836107,43.1578947368421,54.0,71,21.42857142857143,2.533333333333333,4.0,0.6051660516605166
aa,HG,54.0,9.5,16.0,2.0,17.0,14.5,6.5,5.0,1.5,,2.15,0.59,43.0,1.7,0.7839015438284094,39.53488372093023,52.0,54,,2.6875,5.0,0.6204379562043796
aa,HG,61.0,7.0,14.0,2.0,26.5,14.0,8.0,5.0,0.5,,1.31,0.42,28.0,1.04,0.8197798314933114,37.14285714285715,52.0,54,20.0,2.0,5.0,0.6011560693641619
aa,HG,67.0,,18.0,,24.0,17.0,8.5,5.5,2.0,,2.62,,46.0,2.03,2.008214032391468,44.13043478260869,52.0,54,,2.555555555555555,5.0,
aa,HG,64.0,8.0,17.0,3.0,23.0,15.0,9.0,6.0,3.0,,2.09,0.62,46.0,1.7,1.42791603581071,36.95652173913044,52.0,54,21.25,2.705882352941177,5.0,0.6273062730627306
aa,HG,65.0,9.0,17.0,2.0,26.0,16.0,7.0,5.0,2.0,,1.92,0.71,34.0,1.42,0.8754687373538999,41.76470588235294,52.0,54,18.88888888888889,2.0,5.0,0.5399239543726235
aa,HG,56.0,7.5,16.0,3.0,15.5,16.0,9.0,5.5,2.0,,1.54,0.6,34.0,1.15,0.9001613499442714,33.8235294117647,52.0,54,21.33333333333333,2.125,5.0,0.5373831775700934
aa,HG,62.0,8.5,17.0,3.0,25.0,16.0,7.0,,1.5,,1.62,0.54,37.0,1.17,1.118414915964289,31.62162162162162,52.0,54,20.0,2.176470588235294,5.0,0.5416666666666666
aa,HG,62.5,8.5,17.0,,28.5,14.0,7.0,4.5,,,2.57,0.63,,2.11,1.578978704949392,39.07407407407408,52.0,54,20.0,,4.0,0.659375
aa,HG,60.0,8.5,16.0,2.0,24.0,12.5,8.0,5.0,1.5,,0.95,0.49,12.0,0.46,-0.01005033585350145,38.33333333333334,52.0,54,18.82352941176471,0.75,5.0,
aa,HG,63.0,8.5,17.0,2.0,26.5,15.5,7.5,4.0,,,2.02,0.58,40.0,1.66,0.9820784724121582,41.5,52.0,54,20.0,2.352941176470588,4.0,0.6384615384615384
aa,AG,62.5,9.5,,4.0,25.5,13.5,7.5,5.0,1.5,,2.37,0.72,51.0,1.89,1.740466174840505,37.05882352941177,52.0,54,,,5.0,0.6116504854368932
aa,HG,68.0,9.5,18.0,3.0,29.5,17.0,7.5,3.5,,,2.23,0.58,44.0,1.8,1.386294361119891,40.90909090909091,52.0,54,18.94736842105263,2.444444444444445,4.0,0.6405693950177936
aa,HG,71.0,8.0,17.0,3.0,27.0,16.5,9.5,7.0,3.5,,1.52,0.67,24.0,0.96,0.8796267475025636,40.0,52.0,54,21.25,1.411764705882353,5.0,0.4383561643835616
aa,HG,62.5,8.5,,2.0,27.0,15.5,8.0,3.5,,,1.72,0.5,32.0,1.34,0.7654678421395716,41.875,52.0,54,,,4.0,0.6036036036036037
aa,HG,56.5,7.0,17.0,3.0,22.0,13.0,7.0,5.5,1.5,,1.45,0.39,37.0,1.2,1.068153081183401,32.43243243243244,52.0,54,24.28571428571428,2.176470588235294,5.0,0.6521739130434783
aa,HG,60.0,8.0,18.0,2.0,23.5,14.0,8.0,5.5,1.5,,1.66,0.47,38.0,1.35,0.9969486348916096,35.52631578947368,52.0,54,22.5,2.111111111111111,5.0,0.6338028169014085
aa,HG,46.0,6.5,15.0,2.0,19.0,11.0,,4.0,,,0.98,0.2,25.0,0.79,0.5596157879354227,31.6,52.0,54,23.07692307692308,1.666666666666667,4.0,0.6694915254237289
aa,HG,62.0,8.0,16.0,3.0,24.0,13.0,8.5,6.0,2.5,,1.55,0.49,38.0,1.21,0.9360933591703348,31.84210526315789,52.0,54,20.0,2.375,5.0,0.5931372549019608
aa,HG,63.0,9.0,17.0,2.0,27.0,13.0,9.0,5.0,,,2.09,0.46,39.0,1.7,0.9969486348916096,43.58974358974359,52.0,54,18.88888888888889,2.294117647058823,4.0,0.6666666666666667
aa,HG,51.0,6.5,,1.0,22.5,10.0,7.5,4.5,,,0.85,0.37,15.0,0.51,-0.6733445532637656,34.0,52.0,54,,,4.0,0.4180327868852459
aa,HG,53.5,7.5,15.0,1.0,23.5,11.0,7.0,4.5,,,1.52,0.32,37.0,0.132,,,52.0,54,20.0,2.466666666666667,4.0,
aa,AA,56.5,7.5,15.0,3.0,23.5,12.5,7.0,5.0,1.0,,1.67,0.45,35.0,1.34,1.305626458052436,38.28571428571428,52.0,54,20.0,2.333333333333333,5.0,0.6320754716981132
